;entities
1416;['PERSON: Kim Kardashian', 'QUANTITY: 290 m^2']
1417;['MONEY: 327 kr.']
1418;['CARDINAL: nitten']
1419;['PRODUCT: PS2', 'LANGUAGE: somali']
1420;['TIME: 10 minutter', 'NORP: hinduerne']
1421;['QUANTITY: 87 millimeter', 'FACILITY: øgavl {road}', 'LANGUAGE: slovensk', 'QUANTITY: 14 kubikmeter']
1422;['DATE: 1974']
1423;['LAW: Grundloven', 'CARDINAL: 13,3']
1424;['ORGANIZATION: Zealand - Sjællands Erhvervsakademi', 'PRODUCT: Oculus Rift']
1425;['WORK OF ART: Fru Marie Grubbe', 'PERSON: Bastian Hansens']
1426;['LOCATION: Limfjorden']
1427;['MONEY: 4917kroner', 'LOCATION: Vestjylland']
1428;['LANGUAGE: spansk']
1429;['NORP: Danmarksdemokraterne (DD)']
1430;['PERSON: Malina']
1431;['PERCENT: 9.85%', 'DATE: i går']
1432;['LANGUAGE: farsi']
1433;['PERSON: @helenachristensen', 'MONEY: en krona', 'GPE: Thorshavn']
1434;['QUANTITY: 120m', 'NORP: norsk']
1435;['WORK OF ART: Lolland Falster {movie}']
1436;['MONEY: 7417 kr', 'WORK OF ART: Løgneren', 'PRODUCT: Donna Born in Roma Eau de Parfum']
1437;['MONEY: 13 KR', 'MONEY: 327 kr.']
1438;['PERSON: Jaroslaw Møller Kirkeby', 'PERSON: Krogsgaard', 'PERSON: Inga N.', 'ORGANIZATION: Novo Nordisk']
1439;['WORK OF ART: The Great Gatsby', 'MONEY: firs hundrede kroner', 'DATE: 19. Juni 1986']
1440;['MONEY: 337€']
1441;['LOCATION: Sønderjylland', 'NORP: dansk']
1442;['GPE: Somalia', 'PERSON: Lisas']
1443;['DATE: 31/01/85', 'ORGANIZATION: Garmin', 'PRODUCT: Vivofit 4']
1444;['PERCENT: 39 %']
1445;['EVENT: juleaften']
1446;['LANGUAGE: bengali', 'CARDINAL: 29', 'QUANTITY: 67 L', 'PERSON: Helle Helle', 'WORK OF ART: Hvis det er']
1447;['PERSON: Erik']
1448;['GPE: USA']
1449;['GPE: Copenhagen', 'MONEY: 107 kronor']
1450;['DATE: 08-09-1987']
1451;['NORP: tyske', 'NORP: kinesere', 'ORGANIZATION: Amazon', 'LOCATION: Tenerife']
1452;['PERCENT: 33.13 %', 'QUANTITY: nitten millioner kwh', 'GPE: Talinns']
1453;['LOCATION: Falster']
1454;['FACILITY: Roskilde Domkirke', 'PERCENT: 77 %', 'CARDINAL: 5']
1455;['NORP: svenskere']
1456;['CARDINAL: 1/5', 'WORK OF ART: SIMS', 'PRODUCT: L.12.12 White Deodorant Spray']
1457;['EVENT: cornonaviruspandemien']
1458;['ORGANIZATION: Europa-Kommisionen', 'WORK OF ART: Korpset {tv series}', 'EVENT: Orkanen Sandy']
1459;['PERCENT: 82 %', 'DATE: Torsdag, 04. December 1975']
1460;['GPE: Knebel', 'PERCENT: 26.3%']
1461;['LOCATION: Vesteuropa']
1462;['LOCATION: Cabrera-øgruppen']
1463;['PERSON: Mario', 'LOCATION: Madsebakke']
1464;['DATE: 26. September 2000', 'GPE: Taastrups', 'NORP: tysker']
1465;['ORGANIZATION: Bakken Bears']
1466;['PRODUCT: Lego Juletræ', 'WORK OF ART: The Godfather Part II', 'DATE: 1981']
1467;['QUANTITY: 332 ml', 'GPE: Esbjerg']
1468;['NORP: Kristne', 'GPE: Gilleleje', 'GPE: Bagsværds']
1469;['PERCENT: 29%']
1470;['PERSON: Jimmy Bødker Sanders']
1471;['MONEY: 31kroner', 'GPE: Beder']
1472;['PERSON: Michal Ivan']
1473;['FACILITY: Copenhagen Opera House', 'MONEY: 196 KR', 'TIME: kl. 03.00', 'MONEY: tres kr.']
1474;['DATE: 11-07-96']
1475;['LOCATION: Midt- og Vestjylland', 'ORGANIZATION: Stiftstidende', 'DATE: 04. Juni 1979', 'QUANTITY: 55milliliter']
1476;['GPE: Charlottenlund']
1477;['QUANTITY: 7649cm']
1478;['ORGANIZATION: Ørsted', 'NORP: Venstre, Danmarks Liberale Parti']
1479;['PERSON: Claire Hassans', 'LAW: Ligningsloven']
1480;['GPE: Aalborg', 'LOCATION: Lolland', 'LOCATION: Fyn', 'FACILITY: Øresundsbroerne']
1481;['PERCENT: 91%', 'ORGANIZATION: NASA']
1482;['QUANTITY: halvfems hundrede mg', 'PERCENT: firs procent']
1483;['EVENT: Attentatet mod Charlie Hebdo 2015']
1484;['PERSON: Johnsen', 'PERSON: Søs', 'CARDINAL: 3']
1485;['LOCATION: Lolland']
1486;['PRODUCT: Extended Play Gigablack Lash Intense Black']
1487;['GPE: Athen', 'GPE: Aarhus', 'PERSON: Lennart Hemmingsen']
1488;['EVENT: Pride {queer celebration}', 'PERSON: @mathildegoehlers', 'QUANTITY: 185 ml', 'PERSON: Hans-Henrik']
1489;['MONEY: seks kronor', 'MONEY: fire millioner KR', 'DATE: Søndag']
1490;['WORK OF ART: Engel {song}', 'WORK OF ART: Robinson', 'MONEY: en krone']
1491;['LAW: CO2-kvoteloven']
1492;['FACILITY: Lærkevej 13']
1493;['QUANTITY: 68 KM', 'PERSON: Adrian W.']
1494;['TIME: eftermiddag', 'GPE: Ørsted ', 'NORP: spanierne', 'LOCATION: Ejer Bavnehøj']
1495;['GPE: Agerbæk']
1496;['LAW: § 2 i lov nr. 741']
1497;['FACILITY: Empire State Bulding', 'PERSON: Benjamin Lasniers']
1498;['PERCENT: 2 %']
1499;['LOCATION: Esbjerg V']
1500;['DATE: 9 måneder']
1501;['FACILITY: Rosenborg Slot']
1502;['LOCATION: Fyn']
1503;['QUANTITY: 310 millimeter', 'ORDINAL: fjerde']
1504;['DATE: 10-årig', 'GPE: Sveriges']
1505;['PERSON: Ruben']
1506;['PERCENT: 84%']
1507;['CARDINAL: en tredjedel', 'LOCATION: Midtfyn', 'LAW: grundlovens paragraffer om menneskerettigheder (§§ 71-80)']
1508;['MONEY: ti tusinde pund', 'GPE: København', 'PRODUCT: Skippers Lakridspibe']
1509;['PERSON: Inge Lilje']
1510;['LAW: A-skattelåneloven § 2§ 1, 1. pkt.']
1511;['MONEY: seks kronor']
1512;['DATE: en måned']
1513;['PERSON: Sanne Axelsen Jannerup', 'PERSON: Stefan Georg']
1514;['GPE: Peru', 'GPE: Zimbabwe']
1515;['ORGANIZATION: Insta {instagram}', 'PRODUCT: Tuborg Grøn']
1516;['ORDINAL: 12.', 'DATE: 2009']
1517;['LOCATION: Atlanterhavet', 'CARDINAL: 1,1']
1518;['PERSON: Sebastian', 'ORGANIZATION: ISSs {international service system}']
1519;['CARDINAL: 3']
1520;['MONEY: 163EUR']
1521;['GPE: Glasgows']
1522;['DATE: 12/10/15']
1523;['WORK OF ART: Arvingerne']
1524;['EVENT: SPOT festival 2024']
1525;['MONEY: 341 £']
1526;['QUANTITY: 61 meter', 'EVENT: Global Green Growth Institute-sagen {scandal}', 'MONEY: to tusinde kr']
1527;['PERSON: Alba Kolmos', 'WORK OF ART: Borgen', 'PERCENT: 84 %']
1528;['NORP: LA {political party}', 'PERCENT: 57 %']
1529;"[""DATE: 1950'erne"", 'ORGANIZATION: Viborg kommune']"
1530;['ORGANIZATION: AGF {football team}', 'PERSON: Inge-Lise Dupont']
1531;['GPE: Østrig', 'MONEY: 208 kroner']
1532;['PERSON: Nicklas']
1533;['WORK OF ART: Den Afrikanske Farm ', 'GPE: Odense']
1534;['PRODUCT: Playstation 5', 'LOCATION: Bora Bora']
1535;['WORK OF ART: Fight Club']
1536;['CARDINAL: 1,1', 'PERSON: Amir Carstensen']
1537;['DATE: fire uger', 'PERSON: Tim Holst Enevoldsen', 'QUANTITY: halvfjerds hundrede liter', 'GPE: Oslo']
1538;['MONEY: en peso']
1539;['PERSON: Will Smith', 'LANGUAGE: dansk']
1540;['EVENT: Copenhagen Pride', 'QUANTITY: 3075 kg', 'ORGANIZATION: Brøndbys {football team}']
1541;['MONEY: 178danske kroner', 'EVENT: Festugen', 'PERSON: Judith Westergaard', 'WORK OF ART: The Godfather Part II']
1542;['PERCENT: halvtreds procent']
1543;['PERSON: Esben Taagaard Rohde', 'LOCATION: Midtfyn', 'TIME: i aften']
1544;['PERSON: Anders Fogh Rasmussen', 'DATE: 05. Februar 1976', 'WORK OF ART: Skip-Bo']
1545;['LAW: Barselsloven']
1546;['LOCATION: Nordsjælland', 'PERSON: Ahmed Jønson Dalgaard', 'WORK OF ART: Sunflower']
1547;['DATE: Fredag, 31. Maj 2002']
1548;['DATE: 17/08/95']
1549;['LOCATION: Sydsjælland', 'NORP: japanerne']
1550;['GPE: Hjortshøj', 'GPE: Bruxelles']
1551;['PERSON: Lilli L.s', 'PERCENT: 48.34 %', 'PERSON: Leonardo B.s']
1552;['FACILITY: Den gamle Lillebæltsbro', 'LANGUAGE: ungarnsk']
1553;['LOCATION: Sønderjylland', 'FACILITY: Nordjyske Motorvej']
1554;['ORGANIZATION: Odsherred kommune']
1555;['WORK OF ART: Divaer i Junglen', 'EVENT: Danish Music Awards']
1556;['CARDINAL: en fjerdedel']
1557;['PERSON: Jannie']
1558;['MONEY: en dollar']
1559;['PERSON: Viola Hald']
1560;['GPE: Roskilde']
1561;['MONEY: 55 DKK', 'LANGUAGE: bulgarsk', 'ORGANIZATION: Samsung', 'PRODUCT: Galaxy Z Flip']
1562;['NORP: jødisk', 'NORP: romænere']
1563;['FACILITY: Flemming Bamse Jørgensens Plads']
1564;['DATE: Søndag', 'PERSON: Olga Karlsen Bager']
1565;['MONEY: 87kroner', 'PERSON: Lise Lundsgaard Pilgaard', 'LOCATION: Lolland-Falster']
1566;['GPE: Wiens']
1567;['LAW: Jagt og vildtforvaltningsloven']
1568;['GPE: Hamburg', 'QUANTITY: 96millimeter', 'FACILITY: Notre Dame', 'ORDINAL: første']
1569;['ORGANIZATION: SpaceXs']
1570;['ORGANIZATION: Favrskov kommune']
1571;['EVENT: OL 2016', 'GPE: Roskildes', 'MONEY: 55 kr.']
1572;['EVENT: Oktoberfest']
1573;['FACILITY: Fattigskolen {school}']
1574;['PERSON: Linse Kesslers', 'PERSON: Regitzes', 'PERSON: Poul Reichhardt', 'WORK OF ART: Syd for Tana River']
1575;['LOCATION: Aarhus N', 'PERCENT: fem procent']
1576;['PERSON: Knud-Erik Svenningsens']
1577;['PERSON: Jeannette Hatices', 'PRODUCT: Deo Pure Roll-On', 'ORGANIZATION: Google', 'PRODUCT: Pixel 8']
1578;['MONEY: DKK2090', 'ORGANIZATION: Lenovo', 'PRODUCT: Yoga']
1579;['LAW: Corwintilføjelsen']
1580;['DATE: 14/Aug/2018']
1581;['DATE: sidste år', 'DATE: Mandag, 24. Oktober 2022', 'DATE: 2008', 'PERCENT: 74 %']
1582;['PERCENT: 70 %']
1583;['NORP: Javnaðarflokkurin']
1584;['PERSON: Thit Jensen', 'NORP: de kristne', 'TIME: om natten', 'LANGUAGE: azerbaijani']
1585;['PERSON: Columbus']
1586;['QUANTITY: halvfjerds hundrede liter', 'LOCATION: Midtjylland']
1587;['CARDINAL: 2']
1588;['EVENT: Royal Run', 'PERCENT: 69.42 %']
1589;['PERSON: Abdel X. Droobs', 'PERSON: Mohammad Milo', 'NORP: jøderne']
1590;['PERSON: Arne Eriksen', 'QUANTITY: 120 gram', 'PERSON: Mejse Jakobsen', 'LOCATION: Nordsjælland']
1591;['PERSON: Birgitte Q.']
1592;['MONEY: 224 kr', 'MONEY: Dkk7360']
1593;['MONEY: $4329', 'TIME: om natten']
1594;['ORDINAL: 25.', 'PERCENT: 5 %']
1595;['ORGANIZATION: Arla Foods', 'PERSON: Hans-Henrik', 'MONEY: 295 kr.']
1596;['ORGANIZATION: Microsoft']
1597;['GPE: Tyskland']
1598;['TIME: kl 10.00']
1599;['MONEY: 1475kr.', 'WORK OF ART: Fortnite', 'GPE: Fanø', 'LANGUAGE: burmesisk']
1600;['QUANTITY: 334 kilogram']
1601;['DATE: i morgen']
1602;['CARDINAL: ni']
1603;['PERSON: @tobiasmoeller213', 'LANGUAGE: svensk', 'PERSON: Jens Unmack', 'WORK OF ART: Vejen Hjem Fra Rocknroll']
1604;['PERCENT: 5%', 'LAW: naturbeskyttelseslovens § 60 a']
1605;['PERSON: Krogsgaard', 'LANGUAGE: engelsk']
1606;['MONEY: en dollar']
1607;['CARDINAL: 3', 'QUANTITY: firs km^2', 'LAW: 2015/121/EU']
1608;['LANGUAGE: estisk']
1609;['QUANTITY: 147 cl', 'PERCENT: 35 %']
1610;['WORK OF ART: Pride and Prejudice']
1611;['NORP: Sambandsflokkurin', 'PRODUCT: Duraceramic sandwichtoaster']
1612;['PERCENT: 10 %', 'PERSON: Christines', 'GPE: Vejle']
1613;['LANGUAGE: dansk']
1614;['PERSON: Julius E. Severin', 'PERSON: Dan Jørgensen', 'NORP: (S)']
1615;['TIME: 17.30', 'WORK OF ART: Ulysses', 'NORP: tyske', 'PERSON: Mikkel Bjørn', 'NORP: (DF)']
1616;['QUANTITY: 61 kilogram']
1617;['PERSON: Plato']
1618;['LOCATION: Naturpark Åmosen']
1619;['LANGUAGE: engelsk', 'GPE: New York', 'ORGANIZATION: Katjes', 'PRODUCT: Salte Fisk']
1620;['DATE: en måned']
1621;['DATE: 10-11-70', 'GPE: Norge']
1622;['PERCENT: 29 %', 'GPE: Rødekro']
1623;['DATE: Lørdag']
1624;['PRODUCT: Oatly Oat Drink Barista']
1625;['GPE: Nepal', 'GPE: Madrids']
1626;['PERCENT: 60 %']
1627;['QUANTITY: 337ml']
1628;['PERSON: Tanja Stougaard', 'PERSON: Johannes V. Jensen']
1629;['CARDINAL: 299', 'QUANTITY: 107 m']
1630;['QUANTITY: 89km']
1631;['TIME: 17.30']
1632;['WORK OF ART: Det Er Knud Som Er Død', 'ORGANIZATION: Erhvervsakademi Aarhus', 'DATE: tolvårig']
1633;['QUANTITY: 68 L', 'MONEY: 99 kroner', 'CARDINAL: tolv']
1634;['PERSON: Christiane Martinussen Basaran', 'PERSON: Janus Brink', 'DATE: næste uge']
1635;['MONEY: ti kr.']
1636;['NORP: Radikale Venstre', 'ORGANIZATION: Jysk Fynske Mediers']
1637;['ORGANIZATION: Billedbladet']
1638;['ORGANIZATION: Arkitektskolen Aarhus', 'DATE: firserne']
1639;['PERCENT: 54.96 %']
1640;['LAW: Forordning om stavnsbånd', 'DATE: 2013-02-03']
1641;['NORP: muslimske trossamfund', 'PERSON: June Grøn']
1642;['MONEY: 9665 dollars']
1643;['DATE: overmorgen']
1644;['MONEY: 39kr.']
1645;['NORP: Moderaterne']
1646;['PERSON: Aya', 'EVENT: Cyklonen Bhola']
1647;['PERCENT: 40 %', 'CARDINAL: 1291', 'LOCATION: Midt- og Vestjylland', 'QUANTITY: to ml']
1648;['GPE: Danmark']
1649;['MONEY: 55 Dkk']
1650;"['PERCENT: seks procent', ""DATE: 90'erne""]"
1651;['EVENT: SPOT festival 2024', 'ORGANIZATION: Disney', 'EVENT: Folketingsvalget 2019']
1652;['LOCATION: Nordjylland', 'ORGANIZATION: @CNN {twitter handle}']
1653;['MONEY: 152kr']
1654;['DATE: 11/10/21', 'ORGANIZATION: HBO']
1655;['DATE: 12. Oktober 1985', 'EVENT: Ryder Cup']
1656;['FACILITY: Lillebæltsbroen']
1657;['NORP: Danmarksdemokraterne (DD)']
1658;['EVENT: NorthSide', 'PERSON: Bruno']
1659;['PERSON: Madeline Frost', 'QUANTITY: 252 fahrenheit']
1660;['ORGANIZATION: Amazon', 'PRODUCT: Echo']
1661;['QUANTITY: 29 L', 'NORP: Stram Kurs', 'TIME: kl 09:11']
1662;['QUANTITY: 89km', 'MONEY: Dkk113']
1663;['GPE: Danmark', 'DATE: sidste år']
1664;['EVENT: cornonaviruspandemien', 'GPE: Hillerød', 'LOCATION: Nordsjælland', 'MONEY: ni danske kroner']
1665;['LAW: § 1 i lov nr. 667', 'GPE: Risskov', 'FACILITY: Burj Khalifa']
1666;['MONEY: 161kr']
1667;['GPE: Odenses', 'PERSON: Ronald Adrian Ovesen']
1668;['PERSON: Simone T.']
1669;['LANGUAGE: nederlandsk']
1670;['LOCATION: Sjælland']
1671;['CARDINAL: 13,3', 'QUANTITY: 161 cm']
1672;['PERSON: Erling Vester Skotte', 'LANGUAGE: dansk', 'GPE: Lemvig', 'WORK OF ART: Adams æbler']
1673;['LOCATION: Mallorca']
1674;['WORK OF ART: Fight the Power', 'PERSON: Olga Karlsen Bager', 'MONEY: 241 kr.']
1675;['LANGUAGE: engelsk', 'WORK OF ART: Robinson Ekspeditionen']
1676;['EVENT: Anden Verdenskrig']
1677;['PERSON: Mette Frederiksen', 'NORP: (S)']
1678;['MONEY: 31kr', 'PERCENT: 91 %', 'TIME: kl 22:28']
1679;['TIME: eftermiddag', 'PERSON: Mick Øgendahl']
1680;['LOCATION: Midtjylland', 'ORGANIZATION: Salling Group', 'CARDINAL: 1']
1681;['EVENT: Første Verdenskrig']
1682;['ORGANIZATION: forsvaret', 'FACILITY: E45 {highway}']
1683;['GPE: Varde', 'ORDINAL: ottende']
1684;['WORK OF ART: Lykke-Per', 'PERSON: Kell Borg']
1685;['DATE: fem-seks uger']
1686;['WORK OF ART: Pac-Man', 'PERCENT: 38%', 'PERSON: Beatrice Yasmin']
1687;['DATE: 21. April 1999', 'MONEY: nitten amerikanske dollars']
1688;['NORP: buddhisterne']
1689;['LAW: ejendomsvurderingsloven']
1690;['PERCENT: 13 %']
1691;['ORDINAL: første']
1692;['MONEY: fire KR', 'PERCENT: 91%']
1693;['LOCATION: Midt- og Vestjylland']
1694;['FACILITY: E39 {highway}']
1695;['WORK OF ART: Stratego', 'PERCENT: fjorten procent']
1696;['GPE: Bulgarien', 'MONEY: 196kr']
1697;['ORGANIZATION: SAS {airline}', 'LOCATION: Fyn']
1698;['TIME: 18:15-19.15', 'MONEY: DKK313']
1699;['PERSON: Alexandra', 'ORGANIZATION: Celtics {basketball team}']
1700;['PERCENT: 91%', 'PERSON: Donald Trump', 'PERCENT: 31 %']
1701;['PERCENT: 51 %', 'LOCATION: Fyn', 'PERSON: Ionut Buhl Urup']
1702;['EVENT: 2000 Sydney OL', 'QUANTITY: 301 hm']
1703;['PERCENT: 91 %']
1704;['PERCENT: 95 %']
1705;['LOCATION: Midtjylland']
1706;['PERSON: Jesper Klitgaard']
1707;['WORK OF ART: Den eneste ene', 'ORGANIZATION: Snapchat', 'GPE: Irak']
1708;['LOCATION: Stadil Fjord']
1709;['PERSON: Lone Brogaard', 'MONEY: 7576 euro', 'PRODUCT: Combi XXL Connected Airfryer']
1710;['CARDINAL: 20312']
1711;['ORGANIZATION: Mercedes-Benz', 'ORGANIZATION: Europæiske Union']
1712;['QUANTITY: 155 km', 'PERCENT: 65 %']
1713;['WORK OF ART: Midt i en jazztid']
1714;['QUANTITY: 55km', 'ORGANIZATION: Berkshire Hathaway', 'DATE: Torsdag, 04. December 1975', 'PERSON: Emilia Gärtners']
1715;['PERSON: Leonardo B.']
1716;['ORGANIZATION: Spotify']
1717;['PERCENT: 84 %', 'LANGUAGE: catalansk']
1718;['PERSON: Sebastian Kleins', 'GPE: Esbjerg']
1719;['CARDINAL: fire', 'LOCATION: Syddanmark']
1720;['PERSON: Dorrit Madsen Munk', 'ORGANIZATION: Zealand - Sjællands Erhvervsakademi']
1721;['LOCATION: Midtjylland', 'DATE: 13. Juli 1996', 'DATE: Søndag']
1722;['ORGANIZATION: B.T.s']
1723;['DATE: 2020', 'NORP: de kristne']
1724;['PERCENT: 54.96 %']
1725;['PERCENT: halvfems procent']
1726;['TIME: 08.15']
1727;"[""EVENT: Skyderiet i Field's 2022"", 'LANGUAGE: portugisisk']"
1728;['EVENT: Wimbledon 2012']
1729;['ORGANIZATION: Scanpix', 'TIME: 1 minut']
1730;['PERCENT: 50%']
1731;['GPE: Uruguay']
1732;['ORDINAL: første', 'LAW: Ligeretstilføjelsen']
1733;['ORGANIZATION: Amazon Prime', 'PERSON: Sherlock Holmes', 'QUANTITY: ni kvm', 'LAW: Jagt og vildtforvaltningsloven']
1734;['WORK OF ART: Om udregning af rumfang', 'PERCENT: 95 %']
1735;['GPE: Ølstykkes']
1736;['NORP: dansk', 'ORGANIZATION: Birkenstock', 'PRODUCT: Arizona']
1737;['FACILITY: Roskilde Domkirke']
1738;['NORP: svensker', 'GPE: Danmark']
1739;['PERSON: Carlo Johannessen Espersen', 'PRODUCT: Beyond burgerbøf']
1740;['PERCENT: halvfems procent', 'PERCENT: 39 %']
1741;['PERSON: Anne Weber Lindholms']
1742;['ORGANIZATION: Google']
1743;['MONEY: 13KR']
1744;['CARDINAL: 1']
1745;['GPE: Frederiksbergs']
1746;['MONEY: dkk218']
1747;['GPE: Rudkøbings', 'LANGUAGE: kinesisk']
1748;['WORK OF ART: Brudstykker af en Landsbydegns dagbog']
1749;['PERCENT: et hundrede procent', 'MONEY: dkk4329', 'ORGANIZATION: Den Blå Avis']
1750;['FACILITY: Georg Walther Andersens Vænge', 'PERSON: Estrid D.s', 'ORDINAL: første']
1751;['GPE: Rwanda', 'PRODUCT: Kiruna Padded Parka']
1752;['QUANTITY: 176 kvm']
1753;['PERSON: Janni Smith Vendelboe', 'PRODUCT: Xbox Series X']
1754;['CARDINAL: 7']
1755;['GPE: Grenaa']
1756;['ORGANIZATION: Arla', 'PERCENT: 26 %']
1757;['NORP: dansk', 'PERCENT: 10 %']
1758;['PERSON: Lilian Hussain']
1759;['FACILITY: Karensminde Frugtplantage']
1760;['PERSON: Kaj J. Svendsen', 'GPE: Qatar']
1761;['MONEY: 99 kroner']
1762;['MONEY: Dkk5347']
1763;['MONEY: 329 danske kroner', 'GPE: Malling']
1764;['PERSON: Pelle Dragsted', 'GPE: Thisteds']
1765;['DATE: et år']
1766;['LOCATION: København K']
1767;['WORK OF ART: Forsidefruer', 'NORP: muslimsk']
1768;['NORP: Javnaðarflokkurin', 'DATE: i går']
1769;['CARDINAL: tre', 'PERSON: Hyllested', 'PRODUCT: OneBlade Pro']
1770;['LOCATION: Midtfyn', 'LOCATION: Sønderjylland', 'ORDINAL: 10.']
1771;['QUANTITY: 9245 cl', 'PERCENT: 89 %', 'WORK OF ART: Blinkende lygter']
1772;['GPE: Skanderborg']
1773;['GPE: Australien']
1774;['TIME: formiddag']
1775;['QUANTITY: firs km^2', 'LOCATION: Vejle Fjord', 'NORP: polakker']
1776;['GPE: Kbh', 'CARDINAL: 9']
1777;['PERSON: Kis', 'PERCENT: 22.71 %']
1778;['ORDINAL: niende', 'GPE: Danmark']
1779;['PERSON: Kammas']
1780;['GPE: Egypten']
1781;['MONEY: 87kroner']
1782;['PERSON: Thyge K. Dinesen']
1783;['ORDINAL: første', 'PERCENT: firs procent']
1784;['PRODUCT: Aben {wooden figure}']
1785;['ORGANIZATION: Danish Crown']
1786;['DATE: 24. Februar 1996']
1787;['ORDINAL: 5.', 'PERCENT: 71 %']
1788;['MONEY: halvfems hundrede kr']
1789;['GPE: København', 'PERSON: Gry Skov', 'ORGANIZATION: AROS {museum}']
1790;['ORGANIZATION: Telias', 'WORK OF ART: Sherlock', 'ORDINAL: første', 'EVENT: P3 Guld {awards show}']
1791;['FACILITY: Svanholm Gods', 'GPE: Oslo', 'NORP: danske']
1792;['LOCATION: Knudeklint', 'WORK OF ART: Ægteskabet mellem vejen og udvejen', 'WORK OF ART: De grønne slagtere', 'ORGANIZATION: KitchenAid', 'PRODUCT: Artisan']
1793;['DATE: 12-09-2013']
1794;['GPE: Tørring']
1795;['DATE: 2007']
1796;['LANGUAGE: ungarnsk', 'TIME: om natten']
1797;['FACILITY: Billund lufthavn', 'ORDINAL: 1.']
1798;['NORP: hinduistiske trossamfund']
1799;['MONEY: 323 kr.', 'TIME: to timer']
1800;['EVENT: Roskilde Festival']
1801;['DATE: Søndag, 08. December 1974', 'TIME: kl 05.00']
1802;['GPE: Sakskøbing', 'WORK OF ART: Broen {tv series}', 'GPE: Nordmakedonien']
1803;['ORGANIZATION: Matas']
1804;['MONEY: 13 KR', 'QUANTITY: tre centimeter']
1805;['ORGANIZATION: Arizon Cardinals']
1806;['NORP: dansker', 'PRODUCT: Big Mac']
1807;['PERSON: Cecillie Sidses']
1808;['MONEY: 329USD']
1809;['PERSON: Rene Z.']
1810;['WORK OF ART: Herrens Veje']
1811;['LANGUAGE: italiensk']
1812;['ORGANIZATION: Miami Dolphins']
1813;['FACILITY: Viborg Kaserne']
1814;['QUANTITY: 196 cl', 'ORDINAL: 2.', 'ORGANIZATION: Saudi Aramco']
1815;['NORP: japanerne']
1816;['ORGANIZATION: VIA {university}']
1817;['ORGANIZATION: PepsiCo']
1818;['LANGUAGE: dansk', 'PERSON: Qvist']
1819;['PERSON: Sabrina Abbasi', 'DATE: overmorgen']
1820;['ORGANIZATION: VIA University Colleges', 'PERCENT: seksten procent', 'FACILITY: Christiansborg']
1821;['QUANTITY: 193 mm']
1822;['QUANTITY: syv milliliter']
1823;['GPE: Finland']
1824;['LANGUAGE: dansk', 'NORP: Dansk Folkeparti', 'PERCENT: tolv procent']
1825;['GPE: Madrid', 'CARDINAL: 2', 'PRODUCT: Smarties']
1826;['PERCENT: 76%', 'GPE: Jelling', 'PERCENT: 18 %', 'GPE: Australien']
1827;['EVENT: terrorangrebet den 11. september 2001', 'WORK OF ART: Spaen {book}']
1828;['GPE: DK {country}', 'GPE: Aalborg']
1829;['PERSON: Annegrete Lea']
1830;['LANGUAGE: kroatisk']
1831;['NORP: det ortodokse kristne trossamfund']
1832;['EVENT: CPH halvmarathon']
1833;['FACILITY: Nicolinehus', 'GPE: Danmark']
1834;['ORGANIZATION: Center for Cybersikkerhed {twitter handle}', 'NORP: koreanerne', 'GPE: Oslo', 'MONEY: Dkk7360']
1835;['ORGANIZATION: Circle K Danmark A/S', 'MONEY: 326kroner']
1836;['MONEY: 67 Dkk', 'CARDINAL: fjorten']
1837;['QUANTITY: tre tusinde kilogram']
1838;['WORK OF ART: Bedrag {tv series}', 'MONEY: 87dkk']
1839;['DATE: 11/10/21', 'QUANTITY: tres mL']
1840;['PERSON: Franciska Rosenkilde']
1841;['ORGANIZATION: Copenhagen Business Academy']
1842;['ORGANIZATION: Bestseller', 'TIME: 16:31:59', 'PERSON: Anders Matthesen']
1843;['ORGANIZATION: IG {instagram}', 'TIME: 5 minutter']
1844;['WORK OF ART: Pulp Fiction']
1845;['DATE: 2001-07-04', 'NORP: Ny Alliance', 'MONEY: tre tusinde amerikanske dollars']
1846;['ORGANIZATION: Spotifys']
1847;['GPE: Jordan']
1848;['GPE: Esbjerg', 'FACILITY: Nikolaj Kirke', 'WORK OF ART: Jagten']
1849;['GPE: Leeds']
1850;['GPE: Madrid', 'GPE: Haderslev']
1851;['PERSON: Drake', 'WORK OF ART: LAUGH NOW CRY LATER']
1852;['FACILITY: Mercury City Tower']
1853;['PERSON: Merete']
1854;['DATE: Fredag', 'PRODUCT: Macbook']
1855;['LANGUAGE: dansk', 'ORGANIZATION: Stark']
1856;['FACILITY: Næstved Svingbro', 'PERSON: Lau Q. Kjeldsens', 'PERSON: Tintin']
1857;['PRODUCT: KiMs Chips', 'PERCENT: tusind procent', 'EVENT: E3 {gaming convention}']
1858;['PERSON: Jon C. Agersnap']
1859;['MONEY: 35 KR', 'FACILITY: Bagan-templet', 'PERSON: Adel Jørgen']
1860;['LANGUAGE: tamil']
1861;['WORK OF ART: Fasandræberne', 'PERSON: Lena Renate', 'LAW: retsplejelovens § 56 stk']
1862;['MONEY: 329 danske kroner', 'MONEY: firs euro']
1863;['QUANTITY: 196meter', 'PERSON: Joachim Bendixen Boysen', 'LOCATION: Syddanmark']
1864;['PERCENT: 28 %', 'PERCENT: firs procent', 'LANGUAGE: dansk']
1865;['PERSON: Johannes V. Jensen', 'GPE: Esbjerg']
1866;['GPE: Ballerup']
1867;['GPE: Silkeborg']
