entity,context,TYPE
Jørn Rohde,,PERSON
Erling Severinsen,,PERSON
Orla Nissen,,PERSON
Milas Lauritzen,,PERSON
Michal Fisker,,PERSON
Lennart Høj,,PERSON
Tim Keller,,PERSON
Peder Ottesen,,PERSON
Yasin Olsen,,PERSON
Yusuf Friis,,PERSON
Karim Bartholdy,,PERSON
Ib Michaelsen,,PERSON
Walter Danielsen,,PERSON
Tonny Markussen,,PERSON
Klavs Skriver,,PERSON
Yaroslav Karlsen,,PERSON
Samir Nørgaard,,PERSON
Mark Laustsen,,PERSON
Oskar Santos,,PERSON
Lasse Lynge,,PERSON
Marcus Winther,,PERSON
Kai Wagner,,PERSON
Egon Johannesen,,PERSON
Patrik Erichsen,,PERSON
Valdemar Caspersen,,PERSON
Mohamad Mahmood,,PERSON
Bertil Thomhav,,PERSON
Liam Thomasen,,PERSON
Albert Carlsen,,PERSON
Helmuth Damgaard,,PERSON
Casper Taleb,,PERSON
Aneta Justesen,,PERSON
Ingrid Povlsen,,PERSON
Elisa Skov,,PERSON
Irene Iseni,,PERSON
Birgit Ali,,PERSON
Susan Johansson,,PERSON
Frigg Truelsen,,PERSON
Mie Ipsen,,PERSON
Else Brink,,PERSON
Eva Ott,,PERSON
Benedicte Karlsson,,PERSON
Birte Laugesen,,PERSON
Julie Kure,,PERSON
Christine Kongsgaard,,PERSON
Conny Nørgård,,PERSON
Joan Jæger,,PERSON
Madeleine Rytter,,PERSON
Lilly Hansen,,PERSON
Pauline Michelsen,,PERSON
Tanya Würtz,,PERSON
Emma Corneliussen,,PERSON
Kaja Koch,,PERSON
Thea Boesgaard,,PERSON
Kaya Steen,,PERSON
Winnie Espersen,,PERSON
Lea Dam,,PERSON
Jeanett Bostrup,,PERSON
Klara Lindholm,,PERSON
Helena Krogsgaard,,PERSON
Fadime Therkildsen,,PERSON
Sienna Fogsgaard,,PERSON
Ritta Bro,,PERSON
Janni Yilmaz,,PERSON
Dina Krogh,,PERSON
Anita Dahl,,PERSON
Anne-Sofie Ellegaard,,PERSON
Kamma Jørgensen,,PERSON
Annemette Mohammad,,PERSON
Stephanie Gregersen,,PERSON
Minna Petersen,,PERSON
Mai-Britt Smith,,PERSON
Kiki Jespersen,,PERSON
Solveig Hendriksen,,PERSON
Sia Lindberg,,PERSON
Sophia Li,,PERSON
Gunhild Frandsen,,PERSON
Gro Korsgaard,,PERSON
Simona Ibrahim,,PERSON
Molly Mathiesen,,PERSON
Sabine Kragh,,PERSON
Noa Niels-Jørgen,,PERSON
Patrick Finn,,PERSON
Manfred Glenn,,PERSON
Mike Niclas,,PERSON
Kim Gerner,,PERSON
Tue Ronni,,PERSON
Freddy Stefan,,PERSON
Teddy Niklas,,PERSON
Lauge Markus,,PERSON
Tristan Paul,,PERSON
Otto Verner,,PERSON
Cornelius Mohamed,,PERSON
Thorkil Adam,,PERSON
Margot Anja,,PERSON
My Christa,,PERSON
Søs Katrin,,PERSON
Ronja Emilie,,PERSON
Cathrine Lili,,PERSON
Ditte Gry,,PERSON
Julia Annika,,PERSON
Karina Aida,,PERSON
Kristine Victoria,,PERSON
Alona Rikke,,PERSON
Amelia Nataliia,,PERSON
Veronica Esra,,PERSON
Vilma Lotte,,PERSON
Zakaria Johnsen Buch,,PERSON
William Ladefoged Bech,,PERSON
Thorbjørn Fogsgaard Svenningsen,,PERSON
Matthias Smidt Frantzen,,PERSON
Yurii Brodersen Hussein,,PERSON
Leonard Gade Ishøy,,PERSON
Paw Sindberg Mouritsen,,PERSON
Julian Nguyen Engbjerg,,PERSON
Hermann Pihl Martinsen,,PERSON
Kristen Dalgaard Callesen,,PERSON
Ahmed Jørgensen Albertsen,,PERSON
Elo Bendtsen Koch,,PERSON
Troels Kilic Møller-Larsen,,PERSON
Jess Hasselstrøm Husted,,PERSON
Birk Larsen Ahmad,,PERSON
Jannik Bæk Drud,,PERSON
Steffen Lindgaard Bagger,,PERSON
Frank Thrane Damm,,PERSON
Wilhelm Andresen Hadi,,PERSON
Jannick Blauenfeldt Yigit,,PERSON
Sebastian Rosendal Munch,,PERSON
Tomasz Gram Brylle,,PERSON
Christopher Kjærgaard Nicolaisen,,PERSON
Bjørn Mørk Jessen,,PERSON
Ole Tanderup Klitgaard,,PERSON
Georg Laustsen Steen,,PERSON
Joachim Ahmed Hoffmann,,PERSON
Stig Schwartzbach Bach,,PERSON
Phillip Vester Lykke,,PERSON
Thorkild Bjerg Møller,,PERSON
Carl-Emil Lundsgaard Halle,,PERSON
Damian Mohammad Nagel,,PERSON
Oleksandr Carlsen Thelin,,PERSON
Alexander Lauridsen Lindberg,,PERSON
Rasmus Gregersen Frederiksen,,PERSON
Alex Truelsen Hald,,PERSON
Peter Øster Villumsen,,PERSON
Nikolaj Larsson Würtz,,PERSON
Nynne Honoré Kure,,PERSON
Kathrine Kjær Clemmensen,,PERSON
Merle Jakobsen Krone,,PERSON
Elise Espersen Broen,,PERSON
Lisette Truong Christensen,,PERSON
Sofie Bro Nørregaard,,PERSON
Jeannette Ludvigsen Nikolajsen,,PERSON
Inna Sandstrøm Vium,,PERSON
Mary Hauge Brøndum,,PERSON
Margit Brauer Greve,,PERSON
Lonnie Christoffersen Berg,,PERSON
Jessica Holme Petersen,,PERSON
Connie Grave Caspersen,,PERSON
Aya Studsgaard Thomasen,,PERSON
Clara Frederichsen Bloch,,PERSON
Frida Iversen Ipsen,,PERSON
Sylwia Damsgaard Kragh,,PERSON
Susanne Therkelsen Kelstrup,,PERSON
Laila Wagner Bjørn,,PERSON
Martha Frost Bak,,PERSON
Lina Kumar Khan,,PERSON
Ina Skovgaard Green,,PERSON
Lucca Krog Sommer,,PERSON
Karla Jønsson Graversen,,PERSON
Tenna Thygesen Lindegaard,,PERSON
Filippa Weber Helt,,PERSON
Flora Laugesen Johannessen,,PERSON
Helin Bondesen Hassan,,PERSON
Gunver Wissing Magnussen,,PERSON
Carina Johansen Holdt,,PERSON
Lissi Rosendahl Bøgh,,PERSON
Ragnhild Fabricius Willumsen,,PERSON
Gitta Fuglsang Jansen,,PERSON
Josephine Lehmann Lynge,,PERSON
Hannah Abildgaard Ravn,,PERSON
Karin Riis Nonboe,,PERSON
Liva Busk Bonde,,PERSON
Sanne Hvid Lau,,PERSON
Asbjørn K.,,PERSON
Andrzej O.,,PERSON
Bruno J.,,PERSON
Nicklas X.,,PERSON
Danny Z.,,PERSON
Ulrik D.,,PERSON
Tommy S.,,PERSON
Keld N.,,PERSON
Hjalte W.,,PERSON
Kenn I.,,PERSON
Slawomir L.,,PERSON
Kaj B.,,PERSON
Halil A.,,PERSON
Olena H.,,PERSON
Naja R.,,PERSON
Alberte V.,,PERSON
Jane M.,,PERSON
Helen G.,,PERSON
Charlotte Y.,,PERSON
Laura U.,,PERSON
Sille T.,,PERSON
Mia P.,,PERSON
Petra F.,,PERSON
Dorthe Q.,,PERSON
Camille E.,,PERSON
Thilde C.,,PERSON
Nicholai T. Brink,,PERSON
Amin Y. Philipsen,,PERSON
Jesper Q. Vestergaard,,PERSON
Ahmet L. Karlsen,,PERSON
Sander Q. Wegner,,PERSON
Karl V. Schneider,,PERSON
Julius R. Schultz,,PERSON
Hassan J. Kjøge,,PERSON
Arne W. Therkildsen,,PERSON
Palle T. Axelsen,,PERSON
Matias K. Lorenzen,,PERSON
Carlo V. Egebo,,PERSON
Thor W. Wolff,,PERSON
Oscar V. Fisker,,PERSON
Frede H. Martinussen,,PERSON
Magnus X. Schrøder,,PERSON
Johnny A. Ellegaard,,PERSON
Felix X. Skaarup,,PERSON
Erik O. Lauritsen,,PERSON
Theis D. Degn,,PERSON
Magne V. Kastrup,,PERSON
Nikki X. Mortensen,,PERSON
Lukas Q. Saugmann,,PERSON
Jonatan C. Benkjer,,PERSON
Jan I. Kristoffersen,,PERSON
Sussi W. Damgaard,,PERSON
Sarah Y. Halse,,PERSON
Rebecca S. Bie,,PERSON
Katja B. Ünal,,PERSON
Silke R. Stokholm,,PERSON
Linda G. Henriksen,,PERSON
Bianca C. Søgaard,,PERSON
Inge H. Jæger,,PERSON
Nora P. Ibrahim,,PERSON
Inge-Lise B. Mathiesen,,PERSON
Elinor M. Bruun,,PERSON
Felicia K. Bentzen,,PERSON
Asta U. Thordal,,PERSON
Janne D. Henningsen,,PERSON
Anne-Mette Y. Bentsen,,PERSON
Lissie Q. Klausen,,PERSON
Medina R. Nygaard,,PERSON
Helga N. Warburg,,PERSON
Anne-Marie N. Høj,,PERSON
Myrna W. Bergmann,,PERSON
Olga X. Mahmood,,PERSON
Augusta N. Hoelgaard,,PERSON
Emily V. Albrechtsen,,PERSON
Louise Z. Rasmussen,,PERSON
Rigmor H. Thomassen,,PERSON
Anker Engelund,,PERSON
Thit Jensen,,PERSON
Naser Khader,,PERSON
Mærsk Mc-Kinney Møller,,PERSON
K.K. Steincke,,PERSON
Storm P.,,PERSON
Simon Spies,,PERSON
Asta Nielsen,,PERSON
Tom Kristensen,,PERSON
Lise Nørgaard,,PERSON
"Gunnar ""Nu"" Hansen",,PERSON
J.C. Christensen,,PERSON
Johannes V. Jensen,,PERSON
Harald Lander,,PERSON
Nina Bang,,PERSON
Suzanna Brøgger,,PERSON
Henrik Cavling,,PERSON
Bodil Ipsen,,PERSON
Piet Hein,,PERSON
Michael Laudrup,,PERSON
Børge Outze,,PERSON
Benjamin Lasnier,,PERSON
Martin Jensen,,PERSON
Josephine Skriver,,PERSON
Caroline Wozniacki,,PERSON
Nina Agdal,,PERSON
Mø,,PERSON
Mick Øgendahl,,PERSON
Medina,,PERSON
Linse Kessler,,PERSON
Mikkel Kessler,,PERSON
Anders Matthesen,,PERSON
Pernille Vermund,,PERSON
Alex Vanopslagh,,PERSON
Pia Olsen Dyhr,,PERSON
Mette Frederiksen,,PERSON
Lars Løkke Rasmussen,,PERSON
Søren Pape Poulsen,,PERSON
Pelle Dragsted,,PERSON
Franciska Rosenkilde,,PERSON
Troels Lund Poulsen,,PERSON
@helenachristensen,,PERSON
@kevinmagnussen,,PERSON
@andershemmingsendk,,PERSON
@josefinehj,,PERSON
@tobiasmoeller213,,PERSON
@mathildegoehler,,PERSON
@carowozniacki,,PERSON
@braithwaiteofficial,,PERSON
@chriseriksen8,,PERSON
@hamderkurt,,PERSON
@mia1023218,,PERSON
Michelle Obama,,PERSON
Obama,,PERSON
Barack Obama,,PERSON
Bill Gates,,PERSON
Jim Carrey,,PERSON
Kim Kardashian,,PERSON
Morgan Freeman,,PERSON
Johnny Depp,,PERSON
Leonardo DiCaprio,,PERSON
Taylor Swift,,PERSON
Will Smith,,PERSON
Trump,,PERSON
Donald Trump,,PERSON
Albert Einstein,,PERSON
Charles Darwin,,PERSON
George Washington,,PERSON
Joseph Stalin,,PERSON
Plato,,PERSON
Columbus,,PERSON
Galileo Galilei,,PERSON
H.C Andersen,,PERSON
H.C. Andersen,,PERSON
Hans Christian Andersen,,PERSON
Susanne Bier,,PERSON
Anders Fogh Rasmussen,,PERSON
Pippi Langstrømpe,,PERSON
Harry Potter,,PERSON
Sherlock Holmes,,PERSON
Tarzan,,PERSON
Anders and,,PERSON
Anakin Skywalker,,PERSON
Jonathan Løvehjerte,,PERSON
Peter Pan,,PERSON
Homer Simpson,,PERSON
Søren Brun,,PERSON
Yoda,,PERSON
Darth Vader,,PERSON
Pyrus,,PERSON
Dolph,,PERSON
James Bond,,PERSON
Volkswagen Golf,,MULTIPLE
VW Golf,,MULTIPLE
Volkswagen Touran,,MULTIPLE
Tesla Model S,,MULTIPLE
Ford Mustang,,MULTIPLE
Audi A6,,MULTIPLE
VW Passat,,MULTIPLE
Haribo Click Mix,,MULTIPLE
Samsung Galaxy Z Flip,,MULTIPLE
Lenovo Yoga,,MULTIPLE
ASUS Vivobook,,MULTIPLE
Haribo Vampyrer,,MULTIPLE
Katjes Salte Fisk,,MULTIPLE
Google Pixel 8,,MULTIPLE
Nike Air Max 1,,MULTIPLE
Logitech G PRO,,MULTIPLE
Sonos One SL,,MULTIPLE
Sonos Move,,MULTIPLE
Sage Barista Pro,,MULTIPLE
Dyson V15 Detect,,MULTIPLE
Dyson Cyclone V10,,MULTIPLE
LG 42LX1Q6,,MULTIPLE
KitchenAid Artisan,,MULTIPLE
adidas Junior Superstar,,MULTIPLE
Birkenstock Arizona,,MULTIPLE
Bose QuietComfort 45,,MULTIPLE
Garmin Vivofit 4,,MULTIPLE
Fjällräven Kånken Mini,,MULTIPLE
OnePlus Nord 3,,MULTIPLE
NIKE Dunk High,,MULTIPLE
Marshall Major IV,,MULTIPLE
Carhatt Heston Vest,,MULTIPLE
Ford Fiesta,,MULTIPLE
Amazon Echo,,MULTIPLE
TEMPUR PRO® SMARTCOOL™,matress,MULTIPLE
Holbergs Erasmus Montanus,,MULTIPLE
St. St. Blicher Brudstykker af en Landsbydegns dagbog,,MULTIPLE
Søren Kirkegaards Enten-Eller,,MULTIPLE
Pontoppidan Lykke-Per,,MULTIPLE
Helle Helle Hvis det er,,MULTIPLE
Hanne-Vibeke Holst Undskyldningen,,MULTIPLE
Solvej Balle Om udregning af rumfang,,MULTIPLE
Sigurd Langberg Naar Bønder elsker,,MULTIPLE
Line Kruse Noget i luften,,MULTIPLE
Dirch Passer Ved Kongelunden,,MULTIPLE
Gerda Lie Kaas Vildheks ,,MULTIPLE
Reine Brynolfsson Sidste dans,,MULTIPLE
Poul Reichhardt Syd for Tana River,,MULTIPLE
Alex Ahrendtsen (DF),,MULTIPLE
Mikkel Bjørn (DF),,MULTIPLE
Katrine Daugaard (LA),,MULTIPLE
Dan Jørgensen (A),,MULTIPLE
Dan Jørgensen (S),,MULTIPLE
Mai Mercado (K),,MULTIPLE
Lars Løkke Rasmussen (M),,MULTIPLE
Mette Frederiksen (S),,MULTIPLE
Drake LAUGH NOW CRY LATER,,MULTIPLE
The Weekend's Blinding Lights,,MULTIPLE
Bieber Mood (Remix),,MULTIPLE
DJ Snakes Lean On,,MULTIPLE
Selena Gomez Good for You,,MULTIPLE
Kanye West FourFiveSeconds,,MULTIPLE
Gilli C'est la vie,,MULTIPLE
Rasmus Seebachs Uanset,,MULTIPLE
Lukas Graham Søndagsbarn,,MULTIPLE
Hugo Helmig Wild,,MULTIPLE
Rasmus Seebach 2017,song,MULTIPLE
Jens Unmack Vejen Hjem Fra Rocknroll,,MULTIPLE
Kaj og Andrea,,MULTIPLE
